response_catalog_id|response_catalog_description|response_type_cd|response_catalog_header|severity_cd
40569|Another Certification Test record with this test number has already been submitted for this location.  If this is a different test, you must assign it a unique test number.   If you wish to edit the existing test, you should import or download the test.|CHECK||
40572|The EndDate, EndHour, and/or EndMinute for [key] are invalid.|CHECK||
40574|You reported a Flow RATA Run record for [key], which is not appropriate for a RATA conducted using ReferenceMethodCode [method].|CHECK||
40575|"You reported a Flow RATA Run record for [key], which is not appropriate for a run with a RunStatusCode equal to ""NOTUSED"".  You should only report Flow RATA records for runs that are used in the calculation of relative accuracy."|CHECK||
40576|The run End Time is earlier than the run Begin Time for [key].|CHECK||
40577|The run for [key] was less than five minutes.  Each run must be at least five minutes in duration.|CHECK||
40578|The run for [key] was less than 21 minutes.  Each run must be at least 21 minutes in duration.|CHECK||
40579|"The RATA for [key] contains fewer than nine RATA run records with a run status of ""RUNUSED"" and more than three RATA run records with a run status of ""NOTUSED"".  A minimum of nine runs are required for each complete operating level test; only three runs may be excluded from a test at each operating level."|CHECK||
20405|The separation of the mid and high operating levels for this test does not represent at least 25% of the operating range of the unit or stack.|CHECK||
20406|The ReferenceMethodCode [value] in the RATA Summary Data record for [key] is not appropriate for a RATA conducted for a [system type] system.|CHECK||
20412|You did not report a Flow Run record for [key].  When a RATA is performed using method 2F or 2G, Flow Run record must be reported for each run used in the relative accuracy calculation.|CHECK||
20413|The StackDiameter reported for [key] is less than 3.3 feet.  A minimum stack or duct diameter of 3.3 feet is required when Method 2H is used for a flow RATA.|CHECK||
20414|The StackArea reported for [key] is inconsistent with the recalculated area based on the StackDiameter.|CHECK||
20415|You reported a value in the NumberWallEffectsPoints for [key].  A value should only be reported in this field if the PointUsedIndicator indicates that this is an exterior Method1 traverse point used to calculate a replacement velocity.|CHECK||
20416|You did not provide a CalculatedWAF for [key].  You must provide a CalculatedWAF for flow reference method code M2H.|CHECK||
20417|The DefaultWAF provided for [key] is invalid.  DefaultWAFs should only be reported for reference method codes 2FH or 2GH.|CHECK||
20418|You provided both a CalculatedWAF and a DefaultWAF for [key].  A CalculatedWAF and a DefaultWAF cannot both be applied to the same RATA.|CHECK||
20419|You reported a DefaultWAF that was not equal to 0.9900 for [key].  A DefaultWAF of .9900 is the only allowable value for brick and mortar stacks.|CHECK||
20420|You did not report a value in the [fieldname] field for [key].  This value must be provided for a flow RATA using conditional method CTM-041.|CHECK||
20421|You did not provide a CalculatedWAF or a DefaultWAF for [key].  Either a CalculatedWAF or a DefaultWAF must be provided for a flow RATA using method 2H.|CHECK||
20422|The DryMolecularWeight is inconsistent with the value recalculated from the data reported for [key].|CHECK||
20423|The WetMolecularWeight is inconsistent with the value recalculated from the data reported for [key].|CHECK||
20424|The NumberOfTraversePoints reported for [key] does not correspond to the number of traverse points identified in RATA Traverse records.|CHECK||
20425|The RATA Traverse record for [key] contains the same TraversePointID as another record in the run.|CHECK||
20426|The RATA Traverse record for this run contains invalid Traverse Point IDs.  All Traverse Point IDs must consist of three alpha-numeric characters.  See [key].|CHECK||
20427|You reported different probe types in the traverse point records for [key].  The same type of probe must be used for all traverse points associated with a run.|CHECK||
20429|The ProbeTypeCode [value] in the RATA Traverse record for [key] is not appropriate for a RATA using reference method [method].|CHECK||
20431|The LastProbeDate for [key] does not precede the BeginDate of the run.|CHECK||
20432|You did not provide either an AvgVelDiffPressure or AvgSquareVelDiffPressure for [key].|CHECK||
20433|You provided both an AvgVelDiffPressure and AvgSquareVelDiffPressure for [key].  Report only one of these two values for each traverse point.|CHECK||
20434|One or more traverse points was identified as an exterior method 1 traverse point for [key].  You should only identify points as exterior method 1 traverse points for flow RATAs using method 2H (calculated WAF option).|CHECK||
20435|You reported a value of 1 as the PointUsedIndicator for [key], but did not provide the ReplacementVelocity.  |CHECK||
20436|You reported a value of 1 as the PointUsedIndicator for [key], but did not provide the ReplacementVelocity.  The software cannot determine if this traverse point should be used to recalculate a wall effects adjustment factor for this run.|CHECK||
20437|You reported a value of 1 as the PointUsedIndicator for [key], but you did not report a valid value as the NumberWallEffectsPoints.  Measurements at two or more wall effects points are required to determine a replacement velocity for an exterior method 1 traverse point. |CHECK||
20438|You reported a value of 1 as the PointUsedIndicator for [key], but you did not report a valid value as the NumberWallEffectsPoints.  Measurements at two or more wall effects points are required to determine a replacement velocity for an exterior method 1 traverse point.  The software cannot determine if this traverse point should be used to recalculate a wall effects adjustment factor for this run.|CHECK||
20439|Recalculation of the CalculatedVelocity for all traverse points for operating level [level], run number [number] was not performed because of the errors listed above.|CHECK||
20440|Recalculation of the CalculatedVelocity for [key] was not performed because of the errors listed above.|CHECK||
20441|The [fieldname] for [key] reported is not within 0.5% of the value calculated from run and point data reported in Flow RATA Run and RATA Traverse records. |CHECK||
20442|One or more traverse points contained a replacement velocity value for [key].  You should only report this information for flow RATAs using method 2H.|CHECK||
20443|You reported a ReplacementVelocity for [key], but did not identify this traverse point as an exterior method 1 traverse point.|CHECK||
20444|You reported a ReplacementVelocity for [key], but did not identify this traverse point as an exterior method 1 traverse point.  The software cannot determine if this traverse point should be used to recalculate a wall effects adjustment factor for this run. |CHECK||
20445|The NumberOfTraversePoints reported for [key] is less than 16.   A minimum of 16 traverse points is required for a flow RATA run in which method 2H is used to calculate a wall effects adjustment factor.|CHECK||
20446|Recalculation of the AvgVelocityWithoutWallEffects, AverageVelocityWithWallEffects, CalculatedWAF, and AverageStackFlowRate for [key] was not performed because of the errors listed above.|CHECK||
20447|Recalculation of the AvgVelocityWithoutWallEffects and AverageStackFlowRate for [key] was not performed because of the errors listed above.|CHECK||
20327|You have not reported a valid monitoring plan span record that was active during the test.|CHECK||
41677|The [fieldname] reported for [key] is inconsistent with the recalculated value.|CHECK||
20448|The average velocity for [key] recalculated from the values in Flow RATA Run and RATA Traverse records is less than 20 ft/sec.  A minimum average velocity of 20.0 ft/sec is required to use Method 2F for a flow RATA.  Recalculation of the average stack flow for this run was not performed.|CHECK||
20449|The average velocity for [key] recalculated from the values in RATARunLevelData records and RATATraverseData records is not within 0.5% of the average velocity reported in RATARunLevelData.|CHECK||
20451|You reported [fieldname] for [key], but you did not identify any exterior method 1 traverse points for this run.  Four exterior method 1 traverse points are required to calculate a [fieldname].|CHECK||
20452|Recalculation of the AverageVelocityWithWallEffects and the CalculatedWAF for [key] was not performed because of the errors listed above.|CHECK||
20453|You identified [key] as a run to be used in the calculation of a wall effects adjustment factor, but you did not identify the correct number of exterior method 1 traverse points for this run.  Four exterior method 1 traverse points are required to calculate a wall effects adjustment factor.  Recalculation of the AverageVelocityWithWallEffects and CalculatedWAF was not performed.|CHECK||
20291|You have not reported at least one method that spans the entire evaluation period for [key].|CHECK||
20292|You have reported [key], but you have not reported the required [formula] formula to span the entire evaluation period.|CHECK||
20293|You reported [key], which indicates that NOx Mass is calculated using NOx Rate and Heat Input.  However, you have not reported a methodology for [missing] at this location that span the entire evaluation period.|CHECK||
20294|You have not reported a Heat Input Method record that spans the entire evaluation period for [key].|CHECK||
20295|You reported a monitoring methodology for [key], but there is no primary [system] monitoring system that is active for the entire evaluation period.|CHECK||
20296|The system does not contain a required DAHS component records for [key] to span the entire evaluation period.|CHECK||
41778|The [testtype] status for [key] could not be determined, because a prior fuel-flow-to-load test for MonitoringSystemID [ID] with TestNumber [ff2ltestnum] has failed.  An invalid [testtype] with TestNumber [invtestnum] was ignored.|CHECK||
20298|You did not report system fuel flow records for [key] that span the entire evaluation period.|CHECK||
20299|You have not reported [incomplete component] component(s) for [key] that is/are active for the entire evaluation period.  This component type is required in a [system type] monitoring system.|CHECK||
20300|You have not reported a unit capacity record that was active during the evaluation period for [key].|CHECK||
20301|You did not report [incomplete formulas] formula record(s) to compute emission values that are active for the entire evaluation period.  These formulas are required when using a [system type] system with a [component type] [basis] component.|CHECK||
20302|You have not reported unit capacity records for [key] that span the entire evaluation period.|CHECK||
20303|You reported [key] as the [range] range of a dual-range analyzer, but you did not report another dual-range [component] component that was active during the evaluation period with the alternate analyzer range.|CHECK||
20304|You reported [key] as the [range] range of a dual-range analyzer, but you did not report the same start and end dates/hour in the alternate-range analyzer range record.|CHECK||
20305|You reported [key], but you did not report [scale] [span parameter] span records to span the entire evaluation period for the analyzer.|CHECK||
20306|You have reported an F-factor formula [Formula ID], but the corresponding formulas that use the F-factor do not span the entire evaluation period.|CHECK||
20307|You have reported a [code] formula for [key] which requires moisture correction, but you have not reported H2O method records that span the entire evaluation period.|CHECK||
20308|You reported a span record for [key], but you did not report a component with the same component type (and range) that is active for the entire evaluation period.|CHECK||
41668|The test period for this RATA extended for more than 336 clock hours.  This test may not meet the requirement that the test period for each Hg RATA be completed within 336 unit or stack operating hours.|CHECK||
20310|Although you have reported an F23 default for [key], you have not reported corresponding formulas to span the entire evaluation period.|CHECK||
20311|You have reported overlapping Location Attribute records for [key] during the evaluation period.|CHECK||
20312|Although [key] is an NBP affected Unit, [method parameter] monitoring method records have not been reported for locations linked to this Unit to span the entire evaluation period.  |CHECK||
20313|Although Unit ID [Unit ID] is an ARP-affected unit, a monitoring method for OP has not been reported for the unit, for a common stack linked to the unit, or for all multiple stacks linked to the unit for the entire evaluation period.  If you believe that this error is incorrect, and has been caused by an inaccurate date in the Unit Program record, please contact Craig Hillock at Hillock.Craig@epamail.epa.gov.|CHECK||
20315|The value [value] in the field [fieldname] for [key] is not within the range of valid values.  This value must be greater than or equal to zero.|CHECK||
20316|You reported a [Fieldname] of [Minute] for [key], which is outside the range of acceptable values.|CHECK||
20318|The ComponentTypeCode for this test is [comptype].  This type of component does not require a linearity check.|CHECK||
20319|You reported that two or more reference gas injections were performed at the same date and time.  Two injections in a [testtype] cannot be performed simultaneously.|CHECK||
20320|Two or more consecutive reference gas injections have the same calibration gas level.  Section 6.2 in Appendix A of 40 CFR Part 75 requires successive gas injections during a [testtype] to be at different calibration gas levels.|CHECK||
20321|You have reported fewer than three calibration gas levels in this test.|CHECK||
20322|This [testtype] was conducted at the same time as another [testtype] for the same component and range.|CHECK||
20323|An injection in this test was conducted at the same time as an injection in another [testtype] for the alternate range of the same analyzer.|CHECK||
20324|The reference values in this test are not consistent with the calibration gas levels.  The reference values of low-level gas injections must be less than those of mid-level gas injections; and the reference values of mid-level gas injections must be less than those of high-level gas injections.|CHECK||
20326|There are no active span records in the Monitoring Span record for the parameter [parameter] associated with the test.|CHECK||
20329|The active analyzer range for the component is inconsistent with the span scale [value] reported for this test.|CHECK||
20332|There are fewer than three gas injections for [key].  For each gas level there must be three injections.|CHECK||
20333|"The tag value of the ""LOW"" level reference calibration gas for the injection data is [percent]% of span and does not meet the performance specifications of 40 CFR Part 75.  The concentration of the low reference calibration gas must be between 20.0% and 30.0% of the span value."|CHECK||
20334|"The tag value of the ""MID"" level reference calibration gas for the injection data is [percent]% of span and does not meet the performance specifications of 40 CFR Part 75.  The concentration of the mid reference calibration gas must be between 50.0% and 60.0% of the span value."|CHECK||
20335|"The tag value of the ""HIGH"" level reference calibration gas for the injection data is [percent]% of span and does not meet the performance specifications of 40 CFR Part 75.  The concentration of the high reference calibration gas must be between 80.0% and 100.0% of the span value."|CHECK||
41782|The [testtype] status for [key] could not be determined, because one or more prior fuel-flow-to-load tests, including the test for MonitoringSystemID [ID] with TestNumber [ff2ltestnum], are invalid.  These tests may be invaild because (1) the TestResultCode indicates that baseline data collection is ongoing, yet you reported a prior test indicating that baseline data collection was completed; or (2) the TestResultCode indicates that there were fewer than 168 fuel QA operating hours in the quarter, yet your emissions data for that quarter indicates otherwise.  An invalid [testtype] with TestNumber [invtestnum] was ignored.|CHECK||
20337|You have reported [key], but you have not reported corresponding Heat Input Appendix D methodology records that span the entire evaluation period.|CHECK||
20339|The APS flag in the Linearity Summary record for [key] is not equal to 1, although EPA applied the alternative performance specification to determine that the test passed the applicable performance specification.|CHECK||
20518|You reported an MODCCode of 04 in the MHV record for [param], but MonitoringSystemID [ID] is not a reference method system.|CHECK||
20519|You reported an MODCCode of 22 in the MHV record for [param], but MonitoringSystemID [ID] is not a certified inlet system.|CHECK||
20520|You did not report a ComponentID in the MHV record for [param].|CHECK||
20521|You reported ComponentID [ID] in the MHV record for [param], but this is not an [comptype] component.|CHECK||
20522|You reported an MODCCode of 17 in the MHV record for [param], which indicates that the component is a like-kind analyzer, but the ComponentID does not begin with LK.|CHECK||
20523|You reported an MODCCode of 17 in the MHV record for CO2C, which indicates that the component is a like-kind analyzer, but the ComponentID does not begin with LK.|CHECK||
20524|You did not report an MHV record for FLOW for the hour.|CHECK||
20525|You reported more than one MHV record for FLOW for the hour.|CHECK||
20526|You reported a MHV record for FLOW, but this record is not appropriate for the hour.|CHECK||
20527|The MODCCode reported in the MHV record for FLOW is invalid.|CHECK||
20528|You reported an MODCCode of [modcCode] in the MHV for FLOW,  but the PercentAvailable is not appropriate for this MODC.|CHECK||
20530|The PercentAvailable reported in the MHV record for FLOW is missing or invalid.  This value must be between 0 and 100.|CHECK||
20531|You reported an MODCCode of [modcCode] in the MHV record for FLOW, so you should not have reported a value for the UnadjustedHourlyValue.|CHECK||
20532|The UnadjustedHourlyValue reported in the MHV record for FLOW is invalid.  The value must be greater than or equal to 0.|CHECK||
20533|You did not report a MonitoringSystemID in the MHV record for FLOW.|CHECK||
20534|You reported MonitoringSystemID [ID] in the MHV record for FLOW, but there is no MonitorSystem record for this system in your monitoring plan that was active during the hour.|CHECK||
20535|You reported MonitoringSystemID [ID] in the MHV record for [param], but this SystemTypeCode for this monitoring system is not appropriate.|CHECK||
20537|You reported an MODCCode of [modcCode] in the MHV record for FLOW, but MonitoringSystemID [ID] is not a backup system.|CHECK||
20538|You reported an MODCCode of [modcCode] in the MHV record for FLOW, but MonitoringSystemID [ID] is not a reference method system.|CHECK||
20539|You reported an MODCCode of [modcCode] in the MHV record for FLOW, but MonitoringSystemID [ID] is not a primary system.|CHECK||
20540|You reported MonitoringSystemID [ID] in the MHV record for FLOW, but this system is not an FLOW monitoring system.|CHECK||
20541|You reported MonitoringSystemID [sys] ComponentID [comp] in the MHV record for FLOW, but there is no MonitorSystemComponent record for this system and component in your monitoring plan that was active during the hour.|CHECK||
20543|The AdjustedHourlyValue reported in the DHV record for SO2 is inconsistent with the recalculated value.|CHECK||
20544|The AdjustedHourlyValue reported in the MHV record for [param] is invalid.|CHECK||
20545|You did not report a DHV record for H2O for the hour.|CHECK||
20546|You reported more than one DHV record for H2O for the hour.|CHECK||
20547|You reported a DHV record for H2O, but this is not appropriate for a non-operating hour.|CHECK||
20548|You did not define load information for [key] for the entire evaluation period.  You must submit this information for each load-based monitoring location.|CHECK||
20549|You did not report a FormulaID in the DHV record for H2O.|CHECK||
20550|You reported FormulaID [ID] in the DHV record for H2O, but the formula is not active for the current hour in your monitoring plan.|CHECK||
20551|You reported FormulaID [ID] in the DHV record for H2O, but this is not an H2O formula.|CHECK||
20552|You reported FormulaID [ID] in the DHV record for H2O, but the FormulaCode of this formula is not appropriate for calculating H2O.|CHECK||
20553|The MODCCode reported in the [type] record for H2O is invalid.|CHECK||
20554|The PercentAvailable reported in the [type] record for H2O is invalid.  This value must be between 0 and 100.|CHECK||
20555|The AdjustedHourlyValue reported in the DHV record for [param] is invalid.  The value must be between 0 and 100.|CHECK||
20556|You did not report a MonitoringSystemID in the DHV record for H2O.  This value is required when you report measured data.|CHECK||
20557|You reported a MonitoringSystemID in the DHV record for H2O, but this is not appropriate for the MODCCode.|CHECK||
20558|You did not report an MHV record for H2O for the hour.|CHECK||
20559|You reported more than one MHV record for H2O for the hour.|CHECK||
20560|You reported a MHV record for H2O, but this is not appropriate for a non-operating hour.|CHECK||
20564|The UnadjustedHourlyValue reported in the MHV record for H2O is invalid.  The value should be greater than or equal to 0.|CHECK||
20565|You have reported more than one active SO2 Method record in your monitoring plan for this hour.|CHECK||
20566|You did not report a MonitoringSystemID in the MHV record for H2O.  This value is required when you report measured data.|CHECK||
20567|You reported a MonitoringSystemID in the MHV record for H2O, but this is not appropriate for the MODCCode.|CHECK||
20568|You did not report a ComponentID in the MHV record for H2O.  This value is required when you report measured data.|CHECK||
20569|You reported a ComponentID in the MHV record for H2O, but this field should be blank whenever missing data substitution is performed.|CHECK||
20570|You reported ComponentID [comp] in the MHV record for H2O, but there is no Component record for this component in your monitoring plan.|CHECK||
20572|"You have reported a Heat Input methodology of ""LTFF"" for [location], but you have not reported a Heat Input methodology of ""CALC"" for all units linked to this pipe for the entire evaluation period."|CHECK||
20573|"You have reported an Appendix D Heat Input methodology for [location], but you have not reported a Heat Input methodology of ""CALC"" for all units linked to this pipe for the entire evaluation period."|CHECK||
20574|"You have reported a Heat Input methodology of ""CEM"" or ""AMS"" for [location], but you have not reported a Heat Input methodology of ""CALC"" for at least one unit linked to this stack for the entire evaluation period."|CHECK||
20576|"You have reported a Heat Input methodology of ""CALC"" for [location], but you have not reported an appropriate Heat Input methodology for the stacks or pipes linked to this unit for the entire evaluation period."|CHECK||
20577|You reported an MODCCode of [modcCode] in the DHV or MHV record for H2O,  but the PercentAvailable is not appropriate for this MODC.|CHECK||
20578|You reported an MODCCode of 21 in the [type] record for H2O, but the [fieldname] does not equal 0.|CHECK||
20579|You have reported [key], but the unit is not burning [missing fuel], which is required when using this methodology.|CHECK||
20580|You reported an MODCCode of [modcCode] in the MHV or DHV record for H2O, but MonitoringSystemID [ID] is not a primary system.|CHECK||
20581|You reported an MODCCode of [modcCode] in the MHV or DHV record for H2O, but MonitoringSystemID [ID] is not a backup system.|CHECK||
20639|You have inappropriately reported an MECValue for [key].|CHECK||
20640|You did not report an MECValue for [key], but the units at this location burn both coal and either oil or gas.  You must determine an MEC for SO2 if both high-sulfur and low-sulfur fuels are used.|CHECK||
20641|You did not report an MECValue for [key], but you have reported add-on NOX controls at this location.  You must determine an MEC for NOX if add-on controls are used.|CHECK||
20642|You reported an MECValue for [key], but you have not reported any add-on NOX controls at this location.  You should only determine an MEC for NOX if add-on controls are used.|CHECK||
20643|You did not report an MECValue for [key], but you have reported SO2 controls at this location.  You must determine an MEC for SO2 if controls are used.|CHECK||
41645|You did not report two [missing component] that were concurrently active for the entire evaluation period for [key].  Two ADSP components are required in a sorbent trap monitoring system.|CHECK||
20645|You have not defined a SpanValue or a DefaultHighRange for [key].  You must report either a SpanValue or a DefaultHighRange in a high-scale [type] span record.|CHECK||
20646|You have reported a DefaultHighRange value for [key], but no corresponding low span scale record that was active during the evaluation period has been reported.|CHECK||
20648|You defined a span record for [key], but you have not reported corresponding high-scale span records that span the entire evaluation period.|CHECK||
20649|You did not report an MECValue for [key], but you defined a DefaultHighRange value.  You must determine a maximum expected concentration when using a default high range value.|CHECK||
20650|You reported an MEC for [key] that is not equal to the MEC in the corresponding high-scale span record.  The MEC values in these records should be the same.|CHECK||
20651|The SpanValue reported for [key], which was reported in [uom], is inconsistent with the FlowSpanValue reported in scfh.|CHECK||
30000|You reported FormulaID [ID] in the DHV record for SO2, but this is not an SO2 formula.|CHECK||
30002|You reported an MODCCode of [modcCode] in the MHV record for [param], so you should not have reported a value for the UnadjustedHourlyValue.|CHECK||
30003|The AdjustedHourlyValue reported in the MHV record for FLOW is invalid.  The value must be greater than or equal to 0.|CHECK||
30005|You reported ComponentID [ID] in the MHV record for H2O, but this is not an H2O component.|CHECK||
40006|This User Name is no longer authorized to log in to the CAMD systems.  Please contact Alex Salpeter (202) 343-9157 for assistance.|LOGIN|Locked out|CRIT1
40007|Your password is over 90 days old.  Please change your password now.|LOGIN|Password grace period|
40008|Your initial password must be changed.  Please change your password now.|LOGIN|Initial password|
40009|Your password has expired. Please contact Alex Salpeter (202) 343-9157 for assistance.|LOGIN|Password expired|CRIT1
40010|You have successfully logged in to the Host system.|LOGIN|Successful login|
40011|You reported an H2O MethodCode of MDF, but you did not report an active H2O default record in your monitoring plan for the hour.|CHECK||
41336|You did not report a missing data maximum default for CO2 in a span or default record in your monitoring plan.|CHECK||
40013|The default value [value] reported for [key] is not within the valid range of values for the fuel code [fuel].|CHECK||
40014|The default value [value] reported for [key] is not appropriate for the unit type and/or fuel burned at the location.|CHECK||
40015|You reported more than one active span record for [key] in your monitoring plan for the hour.|CHECK||
40016|You did not report an active span record for [key] in your monitoring plan for the hour.|CHECK||
40017|You reported more than one active NOXR Method record in your monitoring plan for this hour.|CHECK||
40018|You did not report an MHV record for NOXC for the hour.|CHECK||
40020|You reported more than one MHV record for NOXC for the hour.|CHECK||
40021|You reported an MHV record for NOXC, but this is not appropriate for a non-operating hour.|CHECK||
40022|You did not report a DHV record for NOXR for the hour. |CHECK||
40023|You reported more than one DHV record for NOXR for the hour.|CHECK||
40024|You reported a DHV record for NOXR, but this is not appropriate for a non-operating hour.|CHECK||
40025|The MODCCode reported in the DHV record for [param] is invalid.|CHECK||
40026|The PercentAvailable reported in the DHV record for [param] is invalid.  This value must be between 0 and 100.|CHECK||
40027|You reported an MODCCode of [modcCode] in the DHV for [param],  but the PercentAvailable is not appropriate for this MODC.|CHECK||
40028|You did not report a MonitoringSystemID in the DHV record for [param].  This information is required when you report measured data.|CHECK||
40029|You reported MonitoringSystemID [ID] in the DHV record for [param], but there is no active Monitoring System record for this system in your monitoring plan.|CHECK||
40030|You reported an MODCCode of [modcCode] in the DHV record for [param], but MonitoringSystemID [ID] is not a primary system.|CHECK||
40031|You reported an MODCCode of [modcCode] in the DHV record for [param], but MonitoringSystemID [ID] is not a backup system.|CHECK||
40032|You reported an MODCCode of [modcCode] in the DHV record for [param], but MonitoringSystemID [ID] is not a reference method system.|CHECK||
40033|You reported an MODCCode of 22 in the DHV record for NOXR, but MonitoringSystemID [ID] is not a certified inlet system.|CHECK||
40034|You did not report a FormulaID in the DHV record for [param].|CHECK||
40035|You reported FormulaID [ID] in the DHV record for [param], but this is not a [param] formula.|CHECK||
40036|You reported FormulaID [ID] in the DHV record for NOXR, but the FormulaCode of this formula is not appropriate for calculating NOXR.|CHECK||
40037|You did not report an active FLOW Span record in your monitoring plan for the hour.|CHECK||
40038|You reported more than one active FLOW Span record in your monitoring plan for the hour.|CHECK||
40039|There is no method defined in Monitoring Plan for H2O at this location|CHECK||
40040|There is no default record associated with H2O in MonitoringDefaultData for this location|CHECK||
40042|There are multiple default records associated with H2O in MonitoringDefaultData for this location|CHECK||
40043|You reported a formula with a FormulaCode of [EQCODE] in the DHV record for [param], but you did not report an FdFactor in the Hourly Operating record for the hour.|CHECK||
40044|You reported a formula with a FormulaCode of [EQCODE] in the DHV record for [param], but you did not report an FcFactor in the Hourly Operating record for the hour.|CHECK||
40045|You reported a formula with a FormulaCode of [EQCODE] in the DHV record for [param], but you did not report an FwFactor in the Hourly Operating record for the hour.|CHECK||
40049|You reported an MODCCode of 07 in the DHV record for [param], but too many prior quality assured hours exist in evaluation period for use of this missing data approach.|CHECK||
40114|You have reported a monitoring methodology parameter for [key], which is not appropriate for an ARP affected unit.|CHECK||
40115|"You have reported a Heat Input methodology of ""CALC"" for [location], but you have not reported an appropriate Heat Input methodology for all units linked to this stack for the entire evaluation period."|CHECK||
41685|You reported an invalid EndDate in the Test Summary record for Location [LocationID], TestTypeCode [TestTypeCode] and Test Number [TestNumber].  The test was not imported.|IMPORT||
41691|The subsequent recertification RATA for FLOW SystemID [SUBSYS] with TestNumber [subtestnum] was performed at fewer than the required operating levels.|CHECK||
