check_param_id|check_param_id_name|check_param_id_description|display_name|source_table|check_data_type_cd|chk_param_type_cd|object_type
282|Monitoring_Plan_Program_List|Program records for the units in the Monitoring Plan.|Monitoring Plan Program List|VW_MP_UNIT_PROGRAM|DATAVW|DATA|
283|Current_Monitoring_Plan_Configuration|List providing all Monitoring Plan Configuration information for the current Monitoring Plan.|Current Monitoring Plan Configuration|VW_MP_MONITOR_PLAN|DATAROW|OUTPUT|
284|Monitoring_Plan_Has_Affected Unit|Indicates whether or not the Current Monitoring Plan has at least one Unit affected by a program.|Monitoring Plan Has Affected Unit||BOOLEAN|OUTPUT|
287|Unit_Has_Active_Heat_Input_Method|Indicates whether or not a Unit has at least one Heat Input Method for the Evaluation Period.|Unit Has Active Heat Input Method||BOOLEAN|OUTPUT|
288|Stack_or_Pipe_Has_Active_Method|Indicates whether or not the Stack or Pipe has at least one active Method for the Evaluation Period.|Stack or Pipe Has Active Method||BOOLEAN|OUTPUT|
289|Stack_Pipe_ID_Valid|Indicates whether or not the UnitID or the StackPipeID is valid.|Location ID Valid||BOOLEAN|OUTPUT|
290|Current_Method|Collection of Data Elements for the Method being evaluated (values from Monitor_Method)|Current Method|VW_MONITOR_METHOD|DATAROW|OUTPUT|
291|Method_Parameter_Valid|Indicates whether or not the Method Parameter reported is valid|Method Parameter Code Valid||BOOLEAN|OUTPUT|
292|Method_Substitute_Data_Code_Valid|Indicates whether or not the Method Substitute Date Code reported is valid.|Method Substitute Data Code Valid||BOOLEAN|OUTPUT|
294|Method_Method_Code_Valid|Indicates whether or not the Method Method Code reported is valid.|Method Method Code Valid||BOOLEAN|OUTPUT|
295|Method_Start_Date_Valid|Indicates whether or not the Method Start Date is valid.|Method Start Date Valid||BOOLEAN|OUTPUT|
296|Method_Start_Hour_Valid|Indicates whether or not the Method Start Hour is valid.|Method Start Hour Valid||BOOLEAN|OUTPUT|
297|Method_End_Date_Valid|Indicates whether or not the Method End Date is valid.|Method End Date Valid||BOOLEAN|OUTPUT|
298|Method_End_Hour_Valid|Indicates whether or not the Method End Hour is valid.|Method End Hour Valid||BOOLEAN|OUTPUT|
299|Method_Active|Shows Active/Inactive Status for a Method|Current Method Active||BOOLEAN|OUTPUT|
301|Location_Program_Records|Program records which apply to the monitoring location.    For a unit, this is the Unit Program records for the unit.    For a stack or pipe, this is the Unit Program records for all units linked to the stack or pipe via Unit Stack Configuration records.  The  UnitMonitorCertStartDate for the location program record should be the later of the UnitMonitorCertStartDate in the Unit Program record and the StartDate in the Unit Stack Configuration record.  The  EndDate for the location program record should be the earlier of the EndDate in the Unit Program record and the EndDate in the Unit Stack Configuration record.|Location Program Records|VW_LOCATION_PROGRAM|DATAVW|DATA|
303|Formula_Parameter_List|"Cross check table linking Parameter Code to Parameter Category filtered on Category Code equal to ""FORMULA""    Display: Column 1 only."|List of Formula Parameter Codes|Parameter to Category|DATAVW|CROSCHK|
305|Substitute_Data_Code_Lookup_Table|Lookup table of substitute data approach codes.|Substitute Data Code Lookup Table|SUBSTITUTE_DATA_CODE|DATAVW|LOOKUP|
307|Current_Program|This is a list/collection of information about the program being evaluated.|Current Program|VW_LOCATION_PROGRAM|DATAROW|OUTPUT|
319|Location_Fuel_Records|Fuel Records at Location linked ti associated information in the Fuel Code Lookup table.    For a unit, this is the Unit Fuel records for the unit.    For a stack or pipe, this is the Unit Fuel records for all units linked to the stack or pipe via Unit Stack Configuration records.  The  StartDate for the location fuel record should be the later of the StartDate in the Unit Fuel record and the StartDate in the Unit Stack Configuration record.  The  EndDate for the location fuel record should be the earlier of the EndDate in the Unit Fuel record and the EndDate in the Unit Stack Configuration record.|Location Fuel Records|VW_LOCATION_FUEL|DATAVW|DATA|
320|Substitute_Data_Code_Consistent_with_Fuels|Indicates whether or not FSP75 has been reported for a location where there is no cofiring of fuels.|Substitute Data Code Consistent with Fuels||BOOLEAN|OUTPUT|
322|Non_Load_Based_Indicator|Non Load Based Indicator for a location|Location Non Load Based Indicator||INTEGER|OUTPUT|
3178|HI_Measure_Code|The Data and Maps hourly measure code for HI.|HI Measure Code||STRING|OUTPUT|
323|Non_Load_Based_Indicator_Consistent_with_Substitute_Data_Code|Indicates whether or not NLB or NLBOP has been reported for a load based location.|Non Load Based Indicator Consistent with Substitute Data Code||BOOLEAN|OUTPUT|
326|Current_Default|Collection of Data Elements for the Default being evaluated (values from Monitor_Default)|Current Default|VW_MONITOR_DEFAULT|DATAROW|OUTPUT|
328|Default_Records|Default records with default info included.|Default Records|VW_MONITOR_DEFAULT|DATAVW|DATA|
329|Required_Defaults_Reported_for_Method|Indicates if the default parameter and purpose are acceptable for the monitor method parameter and method according to the cross check table.|Required Defaults Reported for Method||BOOLEAN|OUTPUT|
332|Default_Active_Status|Indicates whether or not the Default is active during the Evaluation Period.|Current Default Active||BOOLEAN|OUTPUT|
333|Current_Fuel|Collection of Data Elements for the Fuel being evaluated (values from Unit_Fuel)|Current Fuel|VW_LOCATION_FUEL|DATAROW|DATA|
334|Fuel_Active_Status|Indicates whether or not the Fuel is active during the Evaluation Period.|Current Fuel Active||BOOLEAN|OUTPUT|
336|Fuel_Code_Valid|Indicates whether or not the Fuell Code is valid for the Monitoring Location.|Fuel Code Valid||BOOLEAN|OUTPUT|
338|Required_CEM_Method_Reported_for_Solid Fuel|Indicates if the fuel reported is acceptable for the monitor method for an ARP location according to the cross check table.|Required CEM Method Reported for Solid Fuel||BOOLEAN|OUTPUT|
340|Method_Records|Records for Methods at Location|Method Records|VW_MONITOR_METHOD|DATAVW|DATA|
345|Monitor_System_Records|System Records at location.|System Records|VW_MONITOR_SYSTEM|DATAVW|DATA|
346|Required_System_Reported_for_Method|Indicates whether or not the Method is consistent with the System Parameter reported as per the Cross Check Table.|Required System Reported for Method||BOOLEAN|OUTPUT|
347|Formula_Active_Status|Indicates whether or not the Formula is active during the Evaluation Period.|Current Formula Active||BOOLEAN|OUTPUT|
348|Formula_Records|Formula records with formula info included|Formula Records|VW_MONITOR_FORMULA|DATAVW|DATA|
349|Current_Formula|List/Collection of information for the formula being evaluated.|Current Formula|VW_MONITOR_FORMULA|DATAROW|OUTPUT|
351|Required_Formula_Reported_for_Method|Indicates whether or not the Method and Formula are consistent.|Required Formula Reported for Method||BOOLEAN|OUTPUT|
355|Required_Defaults_Reported_for_Substitute_Data_Code|Indicates whether or not Defaults were reported for COF fuel if Fuel Specific Missing Data used.|Required Defaults Reported for Substitute Data Code||BOOLEAN|OUTPUT|
358|Methods_Overlapping|Indicates whether or not overlapping methods were found for a Location, Parameter, Evaluation Period.|Methods Overlapping||BOOLEAN|OUTPUT|
359|Method_Consistent_with_Fuels|Indicates whether or not the appropriate fuels are reported for Location reporting OP EXP method.|Method Consistent with Fuels||BOOLEAN|OUTPUT|
362|Bypass_Approach_Code_Consistent_with_Location|Indicates whether or not a Bypass Stack Approach has been reported for a Bypass Stack|Bypass Approach Code Consistent with Location||BOOLEAN|OUTPUT|
364|Current_Load|Collection of Data Elements for the Load being evaluated|Current Load|VW_MONITOR_LOAD|DATAROW|OUTPUT|
365|Load_Records|Load records for current location.|Load Records|VW_MONITOR_LOAD|DATAVW|DATA|
366|Load_Reported_for_Method|Indicates whether or not an active Load record has been reported at the location for which the Method was reported for the Evaluation Period.|Load Reported for Method||BOOLEAN|OUTPUT|
368|Appendix_D_and_E_Methods_Consistent|Indicates whether or not there a corresponding Appendix D method (ADO, ADG, ADB) at this location for the AE method reported.|Appendix D and E Methods Consistent||BOOLEAN|OUTPUT|
369|CEM_Methods_Consistent|Indicates whether or not there a corresponding CEM or AMS method at this location for the H2O method reported.|CEM Methods Consistent||BOOLEAN|OUTPUT|
370|Missing_Methods_for_NOX_NOXR_Method|List of missing method parameters NOXR and HI when NOX/NOXR Method is reported.|Missing Method Parameters for NOX/NOXR Method||DATALST|OUTPUT|
371|Petition_Records|Records for petitions for location.|Petition Records||DATAVW|DATA|
373|Method_Consistent_with_Programs|Indicates whether an active LME method has been reported for any parameter at the location.|Method Consistent with Programs||BOOLEAN|OUTPUT|
374|All_Units_associated_with_Common_Pipe_have_Same_Active_Programs|Indicates whether an LME units at a common pipe have the same program affiliations.|All Units associated with Common Pipe have Same Active Programs||BOOLEAN|OUTPUT|
375|Required_Unit_Capacity_for_MHHI_Method|Indicates whether or not a MHHI unit capacity value has been reported for a location reporting MHHI as a Heat Input Methodology.|Required Unit Capacity for MHHI Method||BOOLEAN|OUTPUT|
376|Facility_Qualification_Records|The Monitor Qualification records for all of a facility's locations that were retrieved for the evaluation.|Facility Qualification Records|MONITOR_QUALIFICATION|DATAVW|DATA|
377|Required_Peaking_Qualification_for_AE_Method|Indicates wheteher the LME location has a PK or SK qualification record.|Required Peaking Qualification for AE Method||BOOLEAN|OUTPUT|
378|Required_LME_Qualification_for_LME_Method|Indicates whether or not an LME method was reported for a Non LME Location.|Required LME Qualification for LME Method||BOOLEAN|OUTPUT|
382|LME_Methods_Consistent|Indicates whether or not an LME CO2  Method was reported.|LME Methods Consistent||BOOLEAN|OUTPUT|
383|Stack_Pipe_Records|Stack/pipe records associated with facility.|Stack Pipe Records|VW_STACK_PIPE|DATAVW|DATA|
384|Unit_Stack_Configuration_Records|The Unit Stack Configuration records for all of a facility's locations that were retrieved for the evaluation.|Unit Stack Configuration Records|VW_UNIT_STACK_CONFIGURATION|DATAVW|DATA|
386|Material_Code_Lookup_Table|The table of valid material codes.|Material Code Lookup table||DATAVW|DATA|
387|Shape_Code_Lookup_Table|Lookup Table with the valid shape codes.|Shape Code Lookup Table||DATAVW|DATA|
388|Bypass_Indicator_Valid|Indicates whether monitor location may report a bypass indicator.|Bypass Indicator Valid||BOOLEAN|OUTPUT|
389|Monitor_System_ID_Valid|Indicates whether or not the Monitor_System_ID reported is valid.|Monitor System ID Valid||BOOLEAN|OUTPUT|
390|Location_Dates_Consistent|Indicates if location attribute start date is prior to end date.|Location Attribute Dates Consistent||BOOLEAN|OUTPUT|
391|System_Designation_Code_Valid|Indicates whether or not the System Parameter Code is valid.|System Designation Code Valid||BOOLEAN|OUTPUT|
392|System_Type_Code_Valid|Indicates whether or not the System Type Code is valid.|System Type Code Valid||BOOLEAN|OUTPUT|
393|System_Start_Date_Valid|Indicates whether or not the System Start Date is valid.|System Start Date Valid||BOOLEAN|OUTPUT|
394|System_Start_Hour_Valid|Indicates whether or not the System Start Hour is valid.|System Start Hour Valid||BOOLEAN|OUTPUT|
395|System_End_Date_Valid|Indicates whether or not the System End Date is valid.|System End Date Valid||BOOLEAN|OUTPUT|
396|System_End_Hour_Valid|Indicates whether or not the System End Hour is valid.|System End Hour Valid||BOOLEAN|OUTPUT|
399|Location_Evaluation_Begin_Date|The first date that the monitor location is active during an evaluation period.|Location Evaluation Begin Date||DATE|OUTPUT|
400|Location_Evaluation_End_Date|The last date that the monitor location is active during an evaluation period.|Location Evaluation End Date||DATE|OUTPUT|
401|Active_Programs_for_Location|A comma-delimited list of programs active for the location during the evaluation period.    Generated in Location object.|Active Programs for Location||DATALST|OUTPUT|
402|Method_Dates_and_Hours_Consistent|Indicates if monitor method start date and hour is prior to end date and hour.|Method Dates and Hours Consistent||BOOLEAN|OUTPUT|
403|Method_Evaluation_Begin_Date|The first date that the monitor method is active during an evaluation period.|Method Evaluation Begin Date||DATE|OUTPUT|
404|Method_Evaluation_Begin_Hour|The first hour that the monitor method is active during an evaluation period.|Method Evaluation Begin Hour||INTEGER|OUTPUT|
405|Method_Evaluation_End_Date|The last date that the monitor method is active during an evaluation period.|Method Evaluation End Date||DATE|OUTPUT|
406|Method_Evaluation_End_Hour|The last hour that the monitor method is active during an evaluation period.|Method Evaluation End Hour||INTEGER|OUTPUT|
409|System_Dates_and_Hours_Consistent|Indicates ifsystem start date and hour is prior to end date and hour.|System Dates and Hours Consistent||BOOLEAN|OUTPUT|
410|System_Evaluation_Begin_Date|The first date that the monitor system is active during an evaluation period.|System Evaluation Begin Date||DATE|OUTPUT|
411|System_Evaluation_Begin_Hour|The first hour that the monitor system is active during an evaluation period.|System Evaluation Begin Hour||INTEGER|OUTPUT|
412|System_Evaluation_End_Date|The last date that the monitor system is active during an evaluation period.|System Evaluation End Date||DATE|OUTPUT|
413|System_Evaluation_End_Hour|The last hour that the monitor system is active during an evaluation period.|System Evaluation End Hour||INTEGER|OUTPUT|
415|Default_Start_Date_Valid|Indicates whether or not the Default Start Date is valid.|Default Start Date Valid||BOOLEAN|OUTPUT|
416|Default_Start_Hour_Valid|Indicates whether or not the Default Start Hour is valid.|Default Start Hour Valid||BOOLEAN|OUTPUT|
417|Default_End_Date_Valid|Indicates whether or not the Default End Date is valid.|Default End Date Valid||BOOLEAN|OUTPUT|
418|Default_End_Hour_Valid|Indicates whether or not the Default End Hour is valid.|Default End Hour Valid||BOOLEAN|OUTPUT|
419|Default_Dates_and_Hours_Consistent|Indicates if monitor default start date and hour is prior to end date and hour.|Default Dates and Hours Consistent||BOOLEAN|OUTPUT|
420|System_Fuel_Code_Valid|Indicates whether or not the System Parameter Code is valid.|System Fuel Code Valid||BOOLEAN|OUTPUT|
421|System_Type_Conistent_with_Method|Indicates whether or not the System Parameter and Method Parameter are Consistent based on the cross check table.|System Type Consistent with Method||BOOLEAN|OUTPUT|
426|System_Type_Lookup_Table|A lookup table of System Type codes and their associated Parameter codes.|System Type Lookup Table|SYSTEM_TYPE_CODE|DATAVW|COMPLEX|
427|System_Designation_Code_Lookup_Table|A lookup table of System Designation codes.|System Designation Code Lookup Table|SYSTEM_DESIGNATION_CODE|DATAVW|LOOKUP|
428|Fuel_Group_Code_Lookup_Table|A lookup table of Fuel Group codes.|Fuel Group Code Lookup Table|FUEL_GROUP_CODE|DATAVW|LOOKUP|
429|Fuel_Category_Code_Lookup_Table|A lookup table of Fuel Category codes.|Fuel Category Code Lookup Table|FUEL_CATEGORY_CODE|DATAVW|LOOKUP|
430|Fuel_Code_Lookup_Table|A lookup table of Fuel codes.|Fuel Code Lookup Table|FUEL_CODE|DATAVW|LOOKUP|
431|Default_Purpose_Code_Lookup_Table|A lookup table of Default Purpose Codes.|Default Purpose Code Lookup Table|DEFAULT_PURPOSE_CODE|DATAVW|LOOKUP|
432|Default_Source_Code_Lookup_Table|A lookup table of Default Source Codes.|Default Source Code Lookup Table|DEFAULT_SOURCE_CODE|DATAVW|LOOKUP|
435|Units_of_Measure_Code_Lookup_Table|A lookup table of Units of Measure Codes.|Units of Measure Code Lookup Table|UNITS_OF_MEASURE_CODE|DATAVW|LOOKUP|
436|Formula_Code_Lookup_Table|A lookup table of Equation Codes with the associated Parameter Code.|Formula Code Lookup Table|EQUATION_CODE|DATAVW|LOOKUP|
438|Span_Scale_Code_Lookup_Table|A lookup table of Span Scale Codes.|Span Scale Code Lookup Table|SPAN_SCALE_CODE|DATAVW|LOOKUP|
440|Bypass_Approach_Code_Lookup_Table|A lookup table of Bypass Approach Codes.|Bypass Approach Code Lookup Table|BYPASS_APPROACH_CODE|DATAVW|LOOKUP|
441|Method_Code_Lookup_Table|A lookup table of Method Codes.|Method Code Lookup Table|METHOD_CODE|DATAVW|LOOKUP|
442|Span_Method_Code_Lookup_Table|A lookup table of Span Method Codes.|Span Method Code Lookup Table|SPAN_METHOD_CODE|DATAVW|LOOKUP|
446|Component_Type_Code_Lookup_Table|A lookup table of Component Type Codes.|Component Type Code Lookup Table|COMPONENT_TYPE_CODE|DATAVW|COMPLEX|
447|Role_Code_Lookup_Table|A lookup table of Role Codes.|Role Code Lookup Table|ROLE_CODE|DATAVW|LOOKUP|
448|Qualification_Type_Code_Lookup_Table|A lookup table of Qualification Type Codes.|Qualification Type Code Lookup Table|QUAL_TYPE_CODE|DATAVW|LOOKUP|
449|Exemption_Type_Code_Lookup_Table|A lookup table of Exemption Type Codes.|Exemption Type Code Lookup Table|EXEMPTION_TYPE_CODE|DATAVW|LOOKUP|
451|Sample_Acquisition_Method_Code_Lookup_Table|Lookup table of sample acquistion method codes|Sample Acquisition Method Code Lookup Table|ACQUISITION_METHOD_CODE|DATAVW|LOOKUP|
453|Analyzer_Range_Code_Lookup_Table|A lookup table of Analyzer Range Codes.|Analyzer Range Code Lookup Table|ANALYZER_RANGE_CODE|DATAVW|LOOKUP|
454|Combustion_Code_Lookup_Table|A lookup table of Combustion Codes.|Combustion Code Lookup Table|COMBUSTION_CODE|DATAVW|LOOKUP|
455|Qualification_Data_Type_Code_Lookup_Table|A lookup table of Qualification Data Type Codes.|Qualification Data Type Code Lookup Table|QUAL_DATA_TYPE_CODE|DATAVW|LOOKUP|
3179|NOXR_Measure_Code|The Data and Maps hourly measure code for NOXR.|NOXR Measure Code||STRING|OUTPUT|
457|Control_Status_Code_Lookup_Table|A lookup table of Control Status Codes.|Control Status Code Lookup Table|CONTROL_STATUS_CODE|DATAVW|LOOKUP|
459|System_Component_Records|The Monitor_System_Component records linked to the current component including the fields from the associated system record.|System Component Records|VW_MONITOR_SYSTEM_COMPONENT|DATAVW|DATA|
461|Required_DAHS_Reported_for_System|Indicates if there is a DAHS component reported for a system.|Required DAHS Reported for System||BOOLEAN|OUTPUT|
462|Missing_Components_for_System|List of required component types that were not linked to the system.|Missing Components for System||DATALST|OUTPUT|
465|System_Fuel_Flow_Records|System Fuel Flow and associated system data for the current system.|System Fuel Flow Records|VW_MP_SYSTEM_FUEL_FLOW|DATAVW|DATA|
466|NBP_Only_System_Consistent_With_Fuel_Flow|Indicates if System Fuel Flow record has been reported for system which requires System Fuel Flow be reported.|Required Fuel Flow Record Reported for Fuel System||BOOLEAN|OUTPUT|
474|System Type Consistent with Unit Fuel|This indicates if for each system (OILV, OILM, GAS or NOXE)  the Unit fuel code is appropriate  (see table).|System Type Consistent with Unit Fuel||BOOLEAN|OUTPUT|
475|Location_Analyzer_Range_Records|A collection of records for all Analyzer Range records for the location with the associated component information.|Location Analyzer Range Records|ANALYZER_RANGE|DATAVW|DATA|
476|Duplicate_CEM_Systems|This indicates if, for each System Type, System Designation Component Type and range combination for any parameter except for NOx,  there is more than one concurrently active Primary CEM System.|Duplicate CEM Systems||BOOLEAN|OUTPUT|
479|Backup_System_Consistent_with_Primary_System|This indicates if this B system has different non-DAHS components from those in the corresponding concurrently active P system.|Backup System Consistent with Primary System||BOOLEAN|OUTPUT|
480|Current_System_Component|The Monitor_System_Component being evaluated, including the fields for the associated component record.|Current System Component|VW_MP_MONITOR_SYSTEM_COMPONENT|DATAROW|OUTPUT|
482|Component_Active|Shows Active/Inactive Status for a Component|Current Component Active||BOOLEAN|OUTPUT|
484|System_Component_Start_Date_Valid|Indicates whether or not the value in the System Component Start Date field is valid.|System Component Start Date Valid||BOOLEAN|OUTPUT|
486|System_Component_Start_Hour_Valid|Indicates whether or not the value in this field is valid.|System Component Start Hour Valid||BOOLEAN|OUTPUT|
487|System_Component_End_Date_Valid|Indicates if the value reported for the field is valid.|System Component End Date Valid||BOOLEAN|OUTPUT|
488|System_Component_End_Hour_Valid|Indicates whether or not the value in the field is valid.|System Component End Hour Valid||BOOLEAN|OUTPUT|
489|System_Component_Dates_and_Hours_Consistent|Indicates whether or not the System Component Start Date and Start Hour are before the System Component End Date and End Hour.|System Component Dates and Hours Consistent||BOOLEAN|OUTPUT|
490|Location_LME_Qualification|Indicates if the location has a LME qualification for the evaluation period.|Location LME Qualification||BOOLEAN|OUTPUT|
491|Component_Component_ID_Valid|Indicates if the value in the field is valid.|Component Component ID Valid||BOOLEAN|OUTPUT|
492|Current_Component|List of information for the Current record in Component.|Current Component|VW_COMPONENT|DATAROW|OUTPUT|
493|Component_Model_Version_Valid|Indicates whether the value reported in the field is Valid.|Component Model Version Valid||BOOLEAN|OUTPUT|
494|Component_Serial_Number_Valid|Indicates whether or not the value reported in the field is valid.|Component Serial Number Valid||BOOLEAN|OUTPUT|
495|Location_Peaking_Qualification|Indicates if the location has a peaking unit qualification for the evaluation period.|Peaking Location||BOOLEAN|OUTPUT|
499|Unit_Capacity_Records|List of all UNIT_CAPACITY records linked to the location (unit).|Unit Capacity Records|UNIT_CAPACITY|DATAVW|DATA|
500|Component_Manufacturer_Valid|Indicates whether or not the value reported for a field is valid.|Component Manufacturer Valid||BOOLEAN|OUTPUT|
501|Component_Component_Type_Valid|Indicates whether or not the value in the field is valid.|Component Component Type Valid||BOOLEAN|OUTPUT|
502|Component_Acquisition_Code_Valid|Indicates whether or not value reported in field is valid.|Component Acquisition Code Valid||BOOLEAN|OUTPUT|
503|Component_Basis_Code_Valid|Indicates whether or not the value reported in the field is valid.|Component Basis Code Valid||BOOLEAN|OUTPUT|
504|Method_Bypass_Approach_Code_Valid|Indicates whether or not the value reported for the field is valid.|Method Bypass Approach Code Valid||BOOLEAN|OUTPUT|
505|Methods_Consistent_among_Linked_Locations|Indicates whether or not methods are consistent among Linked Locations.|Methods Consistent among Linked Locations||BOOLEAN|OUTPUT|
506|Required_Defaults_Reported_for_Bypass_Approach_Code|Indicates whether Required Defaults are reported based on the Bypass Approach Code reported.|Required Defaults Reported for Bypass Approach Code||BOOLEAN|OUTPUT|
507|Substitute_Data_Code_Consistent_with_Program_and_Reporting_Frequency|Indicates whether or not the Substitute Data Code is consistent with the Program and associated Reporting Frequency.|Substitute Data Code Consistent with Program and Reporting Frequency||BOOLEAN|OUTPUT|
508|Location_Control_Records|Unit Control records which apply to the monitoring location.    For a unit, this is the Unit Control records for the unit.    For a stack or pipe, this is the Unit Control records for all units linked to the stack or pipe via Unit Stack Configuration records.  The  InstallDate for the location control record should be the later of the InstallDate in the Unit Control record and the StartDate in the Unit Stack Configuration record.  The  RetireDate for the location control record should be the earlier of the RetireDate in the Unit Control record and the EndDate in the Unit Stack Configuration record.|Location Control Records|VW_LOCATION_CONTROL|DATAVW|DATA|
509|Bypass_Approach_Code_Consistent_with_Control|Indicates whether or not a Bypass Stack Approach has been reported for a Bypass Stack|Bypass Approach Code Consistent with Control||BOOLEAN|OUTPUT|
510|Location_Unit_Type_Records|Unit Type records for the unit or all the units linked to a stack or pipe.|Location Unit Type Records|VW_LOCATION_UNIT_TYPE|DATAVW|DATA|
513|Current_Analyzer_Range|List of information for the Current record in Analyzer Range.|Current Analyzer Range|VW_ANALYZER_RANGE|DATAROW|OUTPUT|
514|Analyzer_Range_Code_Valid|Indicates whether or not the Analyzer Range Code is valid.|Analyzer Range Code Valid||BOOLEAN|OUTPUT|
516|Analyzer_Range_Start_Date_Valid|Indicates whether or not the Analyzer Range Start Date is Valid.|Analyzer Range Start Date Valid||BOOLEAN|OUTPUT|
517|Analyzer_Range_Start_Hour_Valid|Indicates whether or not the Analyzer Range Start Hour is Valid.|Analyzer Range Start Hour Valid||BOOLEAN|OUTPUT|
518|Analyzer_Range_End_Date_Valid|Indicates whether or not the value reported is Valid.|Analyzer Range End Date Valid||BOOLEAN|OUTPUT|
519|Analyzer_Range_End_Hour_Valid|Indicates whether or not the value reported is valid.|Analyzer Range End Hour Valid||BOOLEAN|OUTPUT|
520|Analyzer_Range_Dates_and_Hours_Consistent|Indicates whether or not the Start Date and Hour is prior to the End Date and Hour for Analyzer Range.|Analyzer Range Dates and Hours Consistent||BOOLEAN|OUTPUT|
521|System_Type_Consistent_with_Component_Type|Indicates whether or not the System Type is consistent with the Component Type according to the lookup table.|System Type Consistent with Component Type||BOOLEAN|OUTPUT|
524|Component_Evaluation_Begin_Date|The first date that the component is active during an evaluation period.|Component Evaluation Begin Date||DATE|OUTPUT|
525|Component_Evaluation_Begin_Hour|The first hour that the component is active during an evaluation period.|Component Evaluation Begin Hour||INTEGER|OUTPUT|
526|Component_Evaluation_End_Date|The last date that the component is active during an evaluation period.|Component Evaluation End Date||DATE|OUTPUT|
527|Component_Evaluation_End_Hour|The last hour that the component is active during an evaluation period.|Component Evaluation End Hour||INTEGER|OUTPUT|
528|Required_Formula_Reported_for_System_and_Component|Indicates whether or not the required formula has been reported for the System Type and Component Type reported.|Required Formula Reported for System and Component||BOOLEAN|OUTPUT|
531|Span_Records|Span Records at location.|Span Records|MONITOR_SPAN|DATAVW|DATA|
532|Required_Span_Reported_for_Component_Type_and_Analyzer_Range|Incidates if Component Type and Analyzer Range Code is consistent with Span Parameter and Scale for non Dual range spans.|Required Span Reported for Component Type and Analyzer Range||BOOLEAN|OUTPUT|
535|Required_Analyzer_Range_Reported_for_Component|Indicates whether for the Component Type and Analyzer Range combination if Duplicates have been reported.|Required Analyzer Range Reported for Component||BOOLEAN|OUTPUT|
536|Component_Analyzer_Range_Records|Analyzer Range Records linked to the component.|Component Analyzer Range Records|ANALYZER_RANGE|DATAVW|DATA|
539|Component_Records|Component Records at location.|Component Records|VW_COMPONENT|DATAVW|DATA|
540|Location_System_Component_Records|System Component Records at location with associated component data.|Location System Component Records|VW_MONITOR_SYSTEM_COMPONENT|DATAVW|DATA|
541|System_and_Component_Dates_Consistent|Indicates whether for the component the Monitor System Component Begin Date is prior to the Monitor System Begin Date and if for this component the Monitor System Component End Date is after to the Monitor System End Date.|System and Component Dates Consistent||BOOLEAN|OUTPUT|
542|Data_Backup_System_Consistent_with_P_or_RB_System|This indicates if this DB system has same non-DAHS components and different DAHS componnents from those in the corresponding concurrently active P or RB system.|Data Backup System Consistent with P or RB System||BOOLEAN|OUTPUT|
543|RM_System_Consistent_with_Non_RM_System|This indicates if this RM System has different components from those in all non-RM Systems|RM System Consistent with Non-RM Systems||BOOLEAN|OUTPUT|
